Customer_ID;Country;Segment;Signup_Date
C00001;Romania;Consumer;04.03.2024
C00002;Romania;Consumer;01.10.2023
C00003;Romania;Small Business;26.06.2024
C00004;Romania;Consumer;19.03.2026
C00005;United Kingdom;Small Business;05.07.2025
C00006;Romania;Corporate;06.04.2026
C00007;Germany;Consumer;06.12.2024
C00008;Germany;Small Business;15.05.2023
C00009;Italy;Consumer;18.03.2023
C00010;Romania;Consumer;06.09.2023
C00011;Italy;Small Business;26.10.2024
C00012;United Kingdom;Consumer;26.09.2023
C00013;Romania;Corporate;09.02.2024
C00014;France;Consumer;08.03.2026
C00015;Italy;Consumer;25.02.2023
C00016;Romania;Consumer;10.04.2023
C00017;Spain;Consumer;12.05.2024
C00018;Romania;Consumer;16.08.2025
C00019;Germany;Consumer;17.11.2025
C00020;Netherlands;Consumer;03.01.2024
C00021;Romania;Consumer;06.01.2024
C00022;France;Corporate;13.01.2025
C00023;Romania;Consumer;10.01.2026
C00024;France;Consumer;15.08.2023
C00025;Germany;Small Business;12.02.2026
C00026;Romania;Small Business;26.10.2025
C00027;Romania;Small Business;08.12.2023
C00028;Romania;Corporate;05.05.2025
C00029;Romania;Consumer;13.03.2025
C00030;Romania;Consumer;27.01.2023
C00031;Romania;Small Business;27.05.2024
C00032;Romania;Consumer;30.10.2023
C00033;Romania;Small Business;28.03.2023
C00034;United Kingdom;Consumer;18.08.2024
C00035;United Kingdom;Corporate;15.06.2025
C00036;France;Small Business;08.11.2024
C00037;Romania;Consumer;24.04.2023
C00038;Italy;Consumer;21.11.2025
C00039;Germany;Corporate;31.03.2023
C00040;Romania;Small Business;08.05.2024
C00041;Romania;Small Business;26.12.2024
C00042;United Kingdom;Small Business;28.03.2026
C00043;Romania;Consumer;20.08.2025
C00044;Germany;Consumer;05.09.2023
C00045;Netherlands;Consumer;29.06.2024
C00046;Romania;Small Business;30.12.2025
C00047;Romania;Consumer;13.11.2023
C00048;Netherlands;Consumer;27.02.2026
C00049;Germany;Corporate;11.11.2024
C00050;Romania;Consumer;25.04.2025
C00051;Italy;Small Business;19.05.2026
C00052;Italy;Consumer;27.05.2025
C00053;Germany;Consumer;07.06.2024
C00054;United Kingdom;Consumer;22.01.2025
C00055;Romania;Small Business;11.06.2025
C00056;Romania;Small Business;02.02.2025
C00057;Germany;Consumer;13.01.2023
C00058;Romania;Consumer;24.02.2026
C00059;United Kingdom;Consumer;17.12.2023
C00060;Italy;Consumer;10.04.2025
C00061;Romania;Consumer;03.06.2023
C00062;Germany;Consumer;22.01.2026
C00063;Romania;Small Business;17.04.2023
C00064;Italy;Small Business;30.04.2026
C00065;Romania;Consumer;22.03.2026
C00066;United Kingdom;Small Business;09.01.2025
C00067;Germany;Consumer;02.05.2026
C00068;Romania;Corporate;28.12.2025
C00069;United Kingdom;Consumer;22.02.2026
C00070;United Kingdom;Consumer;16.10.2025
C00071;Germany;Small Business;31.03.2026
C00072;France;Consumer;14.09.2025
C00073;Netherlands;Small Business;28.01.2026
C00074;Romania;Corporate;23.05.2023
C00075;Germany;Small Business;28.06.2024
C00076;Romania;Consumer;02.09.2024
C00077;France;Consumer;06.03.2026
C00078;Germany;Consumer;12.09.2024
C00079;Romania;Consumer;15.07.2024
C00080;Romania;Corporate;01.10.2025
C00081;Italy;Consumer;09.04.2025
C00082;Romania;Consumer;17.01.2025
C00083;United Kingdom;Consumer;11.03.2026
C00084;Romania;Corporate;12.11.2025
C00085;Netherlands;Corporate;26.06.2025
C00086;Romania;Consumer;05.05.2026
C00087;Romania;Consumer;03.03.2023
C00088;Italy;Small Business;08.12.2024
C00089;Spain;Consumer;09.02.2023
C00090;Romania;Corporate;07.10.2025
C00091;Romania;Corporate;12.06.2023
C00092;France;Small Business;16.12.2024
C00093;Italy;Consumer;25.09.2025
C00094;Romania;Small Business;09.03.2025
C00095;Germany;Corporate;16.03.2023
C00096;France;Consumer;30.08.2024
C00097;France;Small Business;21.09.2025
C00098;France;Consumer;09.05.2026
C00099;Germany;Corporate;20.02.2026
C00100;Romania;Small Business;09.11.2025
C00101;Spain;Consumer;27.01.2024
C00102;Italy;Consumer;17.08.2025
C00103;France;Consumer;01.08.2023
C00104;Romania;Consumer;25.02.2024
C00105;Romania;Corporate;28.12.2023
C00106;France;Consumer;11.09.2024
C00107;Romania;Corporate;21.01.2026
C00108;Netherlands;Consumer;06.01.2026
C00109;Romania;Small Business;13.02.2026
C00110;United Kingdom;Corporate;09.04.2026
C00111;Italy;Small Business;05.02.2023
C00112;Romania;Small Business;26.06.2026
C00113;Romania;Corporate;24.01.2026
C00114;Germany;Consumer;26.07.2025
C00115;Germany;Small Business;13.04.2023
C00116;Romania;Consumer;21.07.2025
C00117;Germany;Consumer;12.05.2025
C00118;Spain;Consumer;30.04.2023
C00119;Romania;Small Business;15.09.2023
C00120;Romania;Small Business;16.08.2025
C00121;Romania;Consumer;02.08.2023
C00122;Romania;Corporate;18.03.2024
C00123;Romania;Consumer;14.02.2025
C00124;Romania;Corporate;08.01.2026
C00125;United Kingdom;Consumer;29.12.2023
C00126;Romania;Consumer;15.01.2023
C00127;Spain;Consumer;22.12.2025
C00128;Romania;Consumer;07.04.2026
C00129;Romania;Small Business;26.12.2025
C00130;France;Small Business;09.09.2024
C00131;Italy;Small Business;07.07.2025
C00132;Romania;Consumer;13.06.2023
C00133;Romania;Consumer;24.03.2025
C00134;Romania;Consumer;05.02.2025
C00135;Germany;Consumer;21.03.2025
C00136;Romania;Consumer;02.06.2025
C00137;Romania;Consumer;08.02.2026
C00138;Romania;Small Business;22.09.2025
C00139;Germany;Corporate;16.02.2023
C00140;Spain;Small Business;14.06.2025
C00141;United Kingdom;Consumer;19.07.2025
C00142;Germany;Consumer;06.03.2025
C00143;Romania;Consumer;15.04.2023
C00144;Romania;Consumer;30.11.2023
C00145;Romania;Consumer;06.01.2026
C00146;France;Corporate;03.01.2023
C00147;Italy;Consumer;08.06.2026
C00148;Spain;Consumer;12.10.2023
C00149;Netherlands;Consumer;19.09.2025
C00150;Netherlands;Corporate;08.10.2023
C00151;Spain;Consumer;14.02.2023
C00152;Romania;Small Business;10.02.2025
C00153;Romania;Consumer;22.08.2025
C00154;Romania;Consumer;19.04.2023
C00155;Germany;Small Business;11.12.2023
C00156;Romania;Consumer;24.01.2024
C00157;Italy;Small Business;12.05.2026
C00158;United Kingdom;Consumer;31.01.2024
C00159;Germany;Consumer;23.03.2023
C00160;Romania;Consumer;11.06.2026
C00161;Romania;Small Business;28.04.2023
