Order_Item_ID;Order_ID;Product_ID;Quantity;Unit_Price;Discount
OI00000001;O0000001;P0161;1;918.69;0.0
OI00000002;O0000001;P0082;1;1049.83;0.1
OI00000003;O0000001;P0216;1;1049.32;0.05
OI00000004;O0000001;P0103;4;679.6;0.1
OI00000005;O0000002;P0002;4;2092.67;0.15
OI00000006;O0000002;P0038;2;153.72;0.0
OI00000007;O0000002;P0002;4;2405.03;0.15
OI00000008;O0000002;P0251;3;469.3;0.1
OI00000009;O0000003;P0104;5;595.66;0.05
OI00000010;O0000004;P0281;3;1781.56;0.05
OI00000011;O0000004;P0165;1;569.76;0.0
OI00000012;O0000004;P0276;2;1012.21;0.05
OI00000013;O0000004;P0086;3;1422.73;0.05
OI00000014;O0000005;P0227;5;2273.56;0.05
OI00000015;O0000006;P0161;5;1018.18;0.15
OI00000016;O0000006;P0010;1;1831.17;0.05
OI00000017;O0000006;P0237;3;1399.59;0.0
OI00000018;O0000006;P0087;5;1004.86;0.0
OI00000019;O0000007;P0116;4;390.46;0.0
OI00000020;O0000007;P0001;2;1153.84;0.0
OI00000021;O0000007;P0286;5;469.65;0.05
OI00000022;O0000008;P0051;4;1831.31;0.1
OI00000023;O0000008;P0245;4;38.55;0.1
OI00000024;O0000009;P0247;1;1830.92;0.0
OI00000025;O0000009;P0005;2;167.92;0.05
OI00000026;O0000009;P0172;1;952.82;0.0
OI00000027;O0000010;P0012;4;1505.94;0.0
OI00000028;O0000010;P0018;1;2270.16;0.05
OI00000029;O0000011;P0061;5;902.54;0.1
OI00000030;O0000011;P0168;2;1292.69;0.1
OI00000031;O0000011;P0261;1;1654.83;0.1
OI00000032;O0000011;P0033;1;1031.83;0.0
OI00000033;O0000012;P0010;5;1834.32;0.05
OI00000034;O0000012;P0207;4;2053.75;0.0
OI00000035;O0000012;P0047;1;1072.84;0.0
OI00000036;O0000012;P0287;4;220.87;0.15
OI00000037;O0000013;P0260;5;2093.3;0.05
OI00000038;O0000013;P0134;4;428.94;0.05
OI00000039;O0000014;P0023;5;413.37;0.0
OI00000040;O0000015;P0017;2;1867.4;0.2
OI00000041;O0000015;P0246;5;853.21;0.1
OI00000042;O0000015;P0252;4;1673.63;0.0
OI00000043;O0000015;P0196;5;1992.79;0.0
OI00000044;O0000016;P0229;4;640.06;0.0
OI00000045;O0000017;P0154;5;1137.72;0.0
OI00000046;O0000017;P0177;4;2044.25;0.0
OI00000047;O0000018;P0168;1;1236.74;0.0
OI00000048;O0000018;P0144;1;213.76;0.0
OI00000049;O0000019;P0202;4;421.76;0.0
OI00000050;O0000020;P0080;4;191.5;0.2
OI00000051;O0000020;P0282;1;1153.59;0.05
OI00000052;O0000020;P0196;3;1832.35;0.05
OI00000053;O0000020;P0110;1;1151.06;0.0
OI00000054;O0000021;P0253;1;1141.34;0.0
OI00000055;O0000022;P0006;2;1115.98;0.0
OI00000056;O0000023;P0265;3;86.97;0.1
OI00000057;O0000024;P0290;1;1150.62;0.0
OI00000058;O0000024;P0111;3;230.98;0.0
OI00000059;O0000024;P0128;5;1085.36;0.0
OI00000060;O0000024;P0035;1;1151.02;0.0
OI00000061;O0000025;P0148;3;1814.56;0.15
OI00000062;O0000025;P0297;5;1767.28;0.0
OI00000063;O0000025;P0116;4;352.27;0.0
OI00000064;O0000026;P0108;5;216.3;0.2
OI00000065;O0000026;P0129;3;2132.35;0.0
OI00000066;O0000026;P0145;5;1010.57;0.0
OI00000067;O0000026;P0032;3;1563.31;0.0
OI00000068;O0000027;P0201;3;1123.22;0.0
OI00000069;O0000027;P0272;1;71.55;0.15
OI00000070;O0000027;P0070;1;1089.05;0.0
OI00000071;O0000027;P0028;5;2334.82;0.0
OI00000072;O0000028;P0266;5;354.29;0.0
OI00000073;O0000028;P0118;4;235.87;0.15
OI00000074;O0000028;P0027;5;851.45;0.0
OI00000075;O0000029;P0213;1;197.48;0.1
OI00000076;O0000029;P0044;1;1512.51;0.1
OI00000077;O0000029;P0130;2;1560.99;0.1
OI00000078;O0000030;P0244;1;1127.03;0.0
OI00000079;O0000030;P0219;3;604.1;0.05
OI00000080;O0000030;P0246;3;884.51;0.1
OI00000081;O0000030;P0071;2;824.42;0.1
OI00000082;O0000031;P0134;5;449.6;0.0
OI00000083;O0000031;P0091;5;2149.3;0.0
OI00000084;O0000031;P0061;4;1060.6;0.1
OI00000085;O0000032;P0163;3;622.39;0.05
OI00000086;O0000032;P0170;3;1383.25;0.15
OI00000087;O0000032;P0150;3;1457.05;0.0
OI00000088;O0000033;P0026;5;92.05;0.0
OI00000089;O0000033;P0299;1;138.96;0.2
OI00000090;O0000034;P0041;1;2353.68;0.05
OI00000091;O0000034;P0057;1;218.88;0.0
OI00000092;O0000034;P0294;3;284.35;0.0
OI00000093;O0000034;P0179;3;1235.39;0.0
OI00000094;O0000035;P0061;5;1074.15;0.0
OI00000095;O0000035;P0217;2;1734.65;0.2
OI00000096;O0000035;P0158;3;958.87;0.1
OI00000097;O0000035;P0196;2;1921.88;0.0
OI00000098;O0000036;P0054;1;329.03;0.1
OI00000099;O0000036;P0286;5;476.39;0.2
OI00000100;O0000036;P0073;2;1029.34;0.05
OI00000101;O0000037;P0018;5;2257.35;0.1
OI00000102;O0000037;P0096;2;1554.74;0.0
OI00000103;O0000037;P0045;2;370.42;0.05
OI00000104;O0000037;P0033;2;1072.92;0.05
OI00000105;O0000038;P0204;1;992.72;0.05
OI00000106;O0000038;P0002;1;2318.25;0.0
OI00000107;O0000038;P0275;3;930.44;0.0
OI00000108;O0000038;P0262;2;1383.79;0.1
OI00000109;O0000039;P0123;4;117.76;0.15
OI00000110;O0000039;P0247;2;2015.98;0.0
OI00000111;O0000040;P0139;3;808.35;0.0
OI00000112;O0000040;P0163;5;699.98;0.0
OI00000113;O0000041;P0116;1;365.79;0.1
OI00000114;O0000041;P0137;5;80.82;0.0
OI00000115;O0000042;P0199;4;1294.23;0.0
OI00000116;O0000042;P0186;4;950.61;0.0
OI00000117;O0000042;P0172;2;932.99;0.0
OI00000118;O0000042;P0156;3;1142.64;0.0
OI00000119;O0000043;P0135;1;1559.04;0.1
OI00000120;O0000043;P0289;3;1407.49;0.1
OI00000121;O0000044;P0034;4;611.84;0.0
OI00000122;O0000044;P0095;4;888.42;0.05
OI00000123;O0000044;P0027;4;809.33;0.1
OI00000124;O0000045;P0186;2;953.49;0.0
OI00000125;O0000046;P0025;5;267.31;0.0
OI00000126;O0000046;P0095;2;1009.49;0.05
OI00000127;O0000047;P0116;5;375.79;0.0
OI00000128;O0000047;P0248;4;591.75;0.05
OI00000129;O0000047;P0247;5;2152.38;0.1
OI00000130;O0000047;P0024;3;1380.95;0.0
OI00000131;O0000048;P0076;1;1604.87;0.05
OI00000132;O0000048;P0094;4;1494.12;0.0
OI00000133;O0000048;P0191;3;354.27;0.0
OI00000134;O0000049;P0025;2;285.07;0.0
OI00000135;O0000049;P0297;1;1716.14;0.1
OI00000136;O0000049;P0240;2;1695.54;0.0
OI00000137;O0000049;P0071;2;695.19;0.05
OI00000138;O0000050;P0196;2;2169.27;0.1
