Order_ID;Customer_ID;Order_Date;Store_ID;Status
O0000001;C04931;11.05.2026;S001;Pending
O0000002;C06866;16.02.2025;S028;Completed
O0000003;C06387;21.12.2025;S028;Cancelled
O0000004;C06220;22.04.2026;S021;Completed
O0000005;C07621;08.09.2025;S009;Completed
O0000006;C07028;27.08.2025;S007;Completed
O0000007;C04650;07.08.2025;S020;Pending
O0000008;C08716;04.02.2026;S024;Pending
O0000009;C03694;31.03.2025;S020;Completed
O0000010;C14221;14.05.2025;S005;Completed
O0000011;C10007;18.02.2025;S029;Completed
O0000012;C04217;21.04.2026;S004;Completed
O0000013;C10390;03.03.2026;S002;Completed
O0000014;C14537;26.05.2025;S011;Cancelled
O0000015;C11473;27.11.2025;S007;Completed
O0000016;C11694;14.01.2026;S015;Cancelled
O0000017;C03272;24.04.2025;S018;Completed
O0000018;C02744;07.08.2025;S021;Completed
O0000019;C08423;12.07.2025;S007;Completed
O0000020;C04207;19.07.2025;S024;Completed
O0000021;C01805;27.12.2025;S007;Pending
O0000022;C13640;15.04.2025;S020;Completed
O0000023;C05179;14.05.2025;S020;Completed
O0000024;C12021;03.04.2026;S023;Completed
O0000025;C10975;13.04.2025;S022;Completed
O0000026;C02151;29.08.2025;S030;Completed
O0000027;C02816;12.02.2026;S007;Completed
O0000028;C08769;15.08.2025;S001;Pending
O0000029;C09358;09.09.2025;S001;Completed
O0000030;C04155;02.03.2025;S026;Completed
O0000031;C02301;25.08.2025;S025;Pending
O0000032;C09447;19.03.2025;S017;Cancelled
O0000033;C03542;27.03.2025;S027;Pending
O0000034;C02604;21.07.2025;S012;Cancelled
O0000035;C05677;13.12.2025;S010;Cancelled
O0000036;C05279;24.01.2025;S006;Completed
O0000037;C06034;03.03.2025;S012;Pending
O0000038;C05828;23.11.2025;S030;Completed
O0000039;C08487;02.12.2025;S025;Completed
O0000040;C08066;12.04.2025;S019;Pending
O0000041;C00561;02.02.2025;S021;Completed
O0000042;C03590;01.02.2026;S019;Completed
O0000043;C07569;10.06.2026;S004;Cancelled
O0000044;C10917;19.12.2025;S005;Completed
O0000045;C00454;12.05.2025;S001;Completed
O0000046;C12140;15.09.2025;S025;Cancelled
O0000047;C01415;22.04.2026;S019;Pending
O0000048;C09600;21.04.2025;S015;Cancelled
