Product_ID;Product_Name;Category;Cost;List_Price
P0001;Product 0001;Electronics;992.42;1193.82
P0002;Product 0002;Accessories;1075.91;2426.37
P0003;Product 0003;Sports;172.6;351.58
P0004;Product 0004;Beauty;667.07;911.49
P0005;Product 0005;Beauty;134.75;170.41
P0006;Product 0006;Office;808.33;1115.02
P0007;Product 0007;Electronics;341.07;810.05
P0008;Product 0008;Accessories;793.01;1366.52
P0009;Product 0009;Home;873.76;1861.2
P0010;Product 0010;Electronics;923.53;1796.74
P0011;Product 0011;Sports;133.75;249.51
P0012;Product 0012;Office;1099.63;1464.06
P0013;Product 0013;Accessories;280.11;653.37
P0014;Product 0014;Accessories;49.71;75.89
P0015;Product 0015;Accessories;668.05;1250.94
P0016;Product 0016;Accessories;448.25;907.58
P0017;Product 0017;Sports;996.6;1954.87
P0018;Product 0018;Electronics;970.86;2257.97
P0019;Product 0019;Office;383.98;512.82
P0020;Product 0020;Beauty;1143.71;2042.03
P0021;Product 0021;Sports;352.65;583.65
P0022;Product 0022;Beauty;620.49;1081.33
P0023;Product 0023;Home;310.88;403.84
P0024;Product 0024;Office;1123.57;1480.44
P0025;Product 0025;Accessories;201.71;302.08
P0026;Product 0026;Sports;58.67;89.82
P0027;Product 0027;Beauty;524.94;884.46
P0028;Product 0028;Accessories;1190.89;2279.05
P0029;Product 0029;Sports;1070.55;2080.39
P0030;Product 0030;Beauty;899.59;1497.6
P0031;Product 0031;Beauty;1069.5;1776.42
P0032;Product 0032;Home;1072.67;1525.37
P0033;Product 0033;Electronics;625.04;1178.44
P0034;Product 0034;Sports;382.54;591.52
P0035;Product 0035;Office;927.55;1108.49
P0036;Product 0036;Electronics;795.69;1331.19
P0037;Product 0037;Office;451.52;786.85
P0038;Product 0038;Accessories;117.89;168.82
P0039;Product 0039;Home;897.41;1674.18
P0040;Product 0040;Sports;318.64;591.78
P0041;Product 0041;Electronics;1124.49;2279.91
P0042;Product 0042;Accessories;292.96;574.18
P0043;Product 0043;Accessories;151.7;298.17
P0044;Product 0044;Beauty;998.18;1542.46
P0045;Product 0045;Electronics;188.17;401.61
P0046;Product 0046;Office;219.23;402.6
P0047;Product 0047;Beauty;721.26;1218.4
P0048;Product 0048;Office;1050.1;2029.33
P0049;Product 0049;Accessories;239.74;383.78
P0050;Product 0050;Accessories;375.84;673.1
P0051;Product 0051;Accessories;934.0;1934.2
P0052;Product 0052;Home;1166.33;2633.58
P0053;Product 0053;Beauty;603.39;1388.59
P0054;Product 0054;Beauty;176.96;314.91
P0055;Product 0055;Beauty;21.65;38.98
P0056;Product 0056;Electronics;279.44;600.75
P0057;Product 0057;Sports;162.53;250.79
P0058;Product 0058;Electronics;814.8;1789.89
P0059;Product 0059;Accessories;150.59;266.19
P0060;Product 0060;Accessories;610.06;789.92
P0061;Product 0061;Office;834.64;1035.02
P0062;Product 0062;Accessories;699.43;1540.49
P0063;Product 0063;Beauty;243.73;297.22
P0064;Product 0064;Office;965.93;1449.63
P0065;Product 0065;Beauty;859.91;1348.05
P0066;Product 0066;Home;888.09;1213.35
P0067;Product 0067;Office;161.61;249.26
P0068;Product 0068;Beauty;152.89;317.76
P0069;Product 0069;Electronics;1113.44;1300.89
P0070;Product 0070;Beauty;480.11;1048.54
P0071;Product 0071;Accessories;364.63;809.73
P0072;Product 0072;Home;588.86;951.2
P0073;Product 0073;Beauty;797.12;1069.75
P0074;Product 0074;Electronics;1146.97;2180.45
P0075;Product 0075;Accessories;347.3;451.35
P0076;Product 0076;Beauty;1110.15;1783.07
P0077;Product 0077;Home;34.71;81.5
P0078;Product 0078;Home;668.46;1600.51
P0079;Product 0079;Sports;762.6;1613.0
P0080;Product 0080;Accessories;131.55;202.42
P0081;Product 0081;Office;172.71;347.07
P0082;Product 0082;Beauty;505.84;1027.74
P0083;Product 0083;Electronics;1159.65;1895.8
P0084;Product 0084;Accessories;717.27;1399.47
P0085;Product 0085;Sports;1119.96;1302.97
P0086;Product 0086;Accessories;966.21;1363.63
P0087;Product 0087;Electronics;563.52;1017.92
P0088;Product 0088;Home;942.79;1277.19
P0089;Product 0089;Accessories;26.31;35.71
P0090;Product 0090;Accessories;135.43;297.32
P0091;Product 0091;Beauty;996.17;2377.28
P0092;Product 0092;Accessories;957.2;1766.0
P0093;Product 0093;Office;283.01;622.29
P0094;Product 0094;Beauty;639.27;1526.51
P0095;Product 0095;Office;729.19;967.63
P0096;Product 0096;Home;1041.95;1782.05
P0097;Product 0097;Home;725.71;1190.68
P0098;Product 0098;Accessories;498.02;622.56
P0099;Product 0099;Sports;452.15;946.88
P0100;Product 0100;Electronics;513.93;869.68
P0101;Product 0101;Accessories;784.06;1361.64
P0102;Product 0102;Home;1041.65;1394.08
P0103;Product 0103;Accessories;547.41;753.32
P0104;Product 0104;Electronics;301.17;687.84
P0105;Product 0105;Accessories;287.81;347.04
P0106;Product 0106;Accessories;896.49;1291.9
P0107;Product 0107;Accessories;980.8;1485.98
P0108;Product 0108;Sports;130.81;230.58
P0109;Product 0109;Beauty;84.54;159.19
P0110;Product 0110;Accessories;715.35;1263.75
P0111;Product 0111;Home;179.68;225.52
P0112;Product 0112;Accessories;990.47;1440.72
P0113;Product 0113;Sports;375.85;828.56
P0114;Product 0114;Beauty;176.93;344.48
P0115;Product 0115;Sports;1105.56;2168.49
P0116;Product 0116;Sports;202.81;403.14
P0117;Product 0117;Electronics;345.24;726.26
P0118;Product 0118;Electronics;188.57;230.55
