Return_ID;Order_ID;Return_Date;Returned_Quantity;Return_Reason
R000001;O0049055;11.03.2026;1;Wrong Item
R000002;O0013950;18.07.2025;1;Damaged
R000003;O0032360;16.03.2026;3;Wrong Item
R000004;O0043898;18.07.2025;2;Damaged
R000005;O0014189;04.02.2025;1;Customer Changed Mind
R000006;O0020416;13.05.2025;2;Customer Changed Mind
R000007;O0013632;06.11.2025;1;Customer Changed Mind
R000008;O0042903;11.10.2025;1;Other
R000009;O0055683;27.05.2026;2;Other
R000010;O0054914;24.08.2025;1;Customer Changed Mind
R000011;O0030284;01.10.2025;3;Other
R000012;O0027771;03.03.2026;2;Wrong Item
R000013;O0039899;08.03.2026;1;Wrong Item
R000014;O0040274;23.04.2025;1;Customer Changed Mind
R000015;O0022086;09.08.2025;3;Other
R000016;O0029940;04.03.2026;1;Damaged
R000017;O0033824;13.03.2025;2;Customer Changed Mind
R000018;O0007437;23.06.2026;3;Other
R000019;O0035446;06.03.2026;3;Other
R000020;O0013090;20.05.2025;3;Damaged
R000021;O0035802;05.04.2026;2;Customer Changed Mind
R000022;O0053965;11.07.2025;2;Damaged
R000023;O0056155;16.05.2025;1;Other
R000024;O0030594;23.04.2025;1;Customer Changed Mind
R000025;O0001692;27.03.2025;2;Damaged
R000026;O0013029;25.12.2025;2;Damaged
R000027;O0038545;10.11.2025;3;Late Delivery
R000028;O0042397;19.04.2026;1;Wrong Item
R000029;O0026253;07.04.2026;1;Customer Changed Mind
R000030;O0016220;08.04.2026;2;Wrong Item
R000031;O0006258;10.01.2026;1;Wrong Item
R000032;O0046174;12.07.2026;2;Customer Changed Mind
R000033;O0036185;24.03.2025;1;Customer Changed Mind
R000034;O0003877;04.04.2026;2;Late Delivery
R000035;O0029532;28.06.2025;3;Damaged
R000036;O0029677;08.04.2026;2;Damaged
R000037;O0042773;11.10.2025;1;Other
R000038;O0053759;06.07.2025;3;Customer Changed Mind
R000039;O0020084;21.12.2025;2;Customer Changed Mind
R000040;O0051049;09.01.2026;1;Customer Changed Mind
R000041;O0059429;18.04.2026;1;Other
R000042;O0035270;13.07.2026;2;Other
R000043;O0009038;03.06.2025;1;Customer Changed Mind
R000044;O0050433;07.02.2026;2;Wrong Item
R000045;O0004678;22.04.2026;3;Damaged
R000046;O0059458;05.11.2025;2;Customer Changed Mind
R000047;O0053847;26.04.2026;2;Customer Changed Mind
R000048;O0052139;27.02.2025;1;Wrong Item
R000049;O0033910;28.04.2025;3;Customer Changed Mind
R000050;O0056825;18.03.2026;2;Customer Changed Mind
R000051;O0031994;21.05.2026;1;Customer Changed Mind
R000052;O0030451;05.10.2025;2;Customer Changed Mind
R000053;O0048328;28.04.2025;2;Customer Changed Mind
R000054;O0013171;10.12.2025;3;Wrong Item
R000055;O0038576;22.08.2025;1;Customer Changed Mind
R000056;O0018025;10.02.2026;3;Other
R000057;O0055713;25.01.2026;1;Customer Changed Mind
R000058;O0024492;17.09.2025;1;Other
R000059;O0036529;02.03.2026;2;Customer Changed Mind
R000060;O0059614;09.08.2025;1;Late Delivery
R000061;O0057976;13.11.2025;1;Customer Changed Mind
R000062;O0031702;03.04.2025;2;Customer Changed Mind
R000063;O0002428;06.07.2025;2;Other
R000064;O0004611;10.09.2025;3;Customer Changed Mind
R000065;O0041205;09.01.2026;2;Damaged
R000066;O0054810;17.02.2026;1;Other
R000067;O0000027;20.01.2026;3;Wrong Item
R000068;O0051497;14.07.2025;3;Other
R000069;O0000615;15.02.2026;1;Customer Changed Mind
R000070;O0032663;19.08.2025;3;Customer Changed Mind
R000071;O0052074;13.05.2025;1;Late Delivery
R000072;O0005903;14.06.2026;2;Damaged
R000073;O0051917;16.11.2025;2;Other
R000074;O0009701;05.05.2026;3;Late Delivery
R000075;O0016957;09.05.2025;1;Customer Changed Mind
R000076;O0025198;14.07.2025;1;Other
R000077;O0049201;07.03.2026;3;Customer Changed Mind
R000078;O0014367;05.02.2026;3;Customer Changed Mind
R000079;O0008270;28.02.2025;3;Other
R000080;O0039624;10.10.2025;1;Customer Changed Mind
R000081;O0038195;21.04.2025;2;Customer Changed Mind
R000082;O0038918;13.10.2025;3;Late Delivery
R000083;O0035343;07.08.2025;2;Customer Changed Mind
R000084;O0014906;09.08.2025;1;Customer Changed Mind
R000085;O0006980;29.03.2025;1;Late Delivery
R000086;O0031236;05.04.2025;1;Late Delivery
R000087;O0028171;08.10.2025;1;Other
R000088;O0051337;19.07.2025;3;Customer Changed Mind
R000089;O0052855;16.06.2025;3;Other
R000090;O0056269;18.03.2026;3;Damaged
R000091;O0003648;04.07.2026;2;Damaged
R000092;O0023146;14.05.2025;3;Other
R000093;O0038005;21.07.2025;1;Damaged
R000094;O0023972;23.07.2025;3;Customer Changed Mind
R000095;O0004087;24.05.2026;3;Other
R000096;O0059807;30.09.2025;1;Damaged
R000097;O0014640;15.01.2026;3;Other
R000098;O0043192;06.01.2026;3;Wrong Item
R000099;O0004576;21.03.2026;2;Customer Changed Mind
R000100;O0000375;29.09.2025;2;Customer Changed Mind
R000101;O0001076;05.02.2025;2;Damaged
R000102;O0020194;20.12.2025;2;Other
R000103;O0039968;03.05.2025;1;Other
R000104;O0022983;05.05.2026;2;Customer Changed Mind
R000105;O0011276;10.09.2025;1;Damaged
R000106;O0019044;07.07.2025;2;Customer Changed Mind
R000107;O0029420;01.04.2026;2;Late Delivery
R000108;O0006687;22.06.2025;2;Other
R000109;O0049426;09.02.2026;3;Wrong Item
R000110;O0022502;11.04.2025;3;Customer Changed Mind
R000111;O0035486;05.03.2025;1;Damaged
R000112;O0035648;07.12.2025;2;Wrong Item
R000113;O0050679;12.03.2026;3;Late Delivery
R000114;O0028280;03.08.2025;2;Customer Changed Mind
R000115;O0012528;01.02.2026;1;Late Delivery
R000116;O0011425;14.11.2025;1;Other
R000117;O0051409;15.04.2025;3;Customer Changed Mind
R000118;O0001458;27.04.2025;3;Wrong Item
R000119;O0030603;23.03.2026;2;Customer Changed Mind
R000120;O0029860;31.03.2025;1;Customer Changed Mind
R000121;O0042331;05.06.2025;2;Wrong Item
R000122;O0022662;18.11.2025;2;Late Delivery
R000123;O0052997;28.06.2025;3;Damaged
R000124;O0034263;13.07.2026;3;Customer Changed Mind
R000125;O0048436;14.05.2025;2;Customer Changed Mind
R000126;O0015787;10.05.2026;3;Customer Changed Mind
R000127;O0058096;25.03.2025;3;Wrong Item
R000128;O0015022;14.03.2026;3;Customer Changed Mind
R000129;O0054523;26.07.2025;1;Customer Changed Mind
R000130;O0032599;19.02.2025;3;Customer Changed Mind
R000131;O0005910;22.01.2026;1;Damaged
R000132;O0041031;24.03.2026;1;Damaged
R000133;O0013697;29.09.2025;1;Wrong Item
R000134;O0029384;27.01.2026;1;Late Delivery
R000135;O0016386;22.01.2026;2;Late Delivery
R000136;O0019255;02.07.2025;2;Customer Changed Mind
R000137;O0030776;03.08.2025;2;Wrong Item
R000138;O0007317;24.06.2026;2;Customer Changed Mind
R000139;O0010537;13.07.2026;2;Other
R000140;O0055770;08.03.2026;1;Customer Changed Mind
R000141;O0023811;24.02.2026;3;Customer Changed Mind
R000142;O0006588;27.03.2025;2;Customer Changed Mind
R000143;O0052652;09.07.2026;3;Customer Changed Mind
R000144;O0059775;11.08.2025;3;Customer Changed Mind
R000145;O0055096;30.06.2026;3;Customer Changed Mind
R000146;O0013781;23.06.2025;3;Damaged
R000147;O0016623;14.03.2025;2;Damaged
R000148;O0059565;12.04.2026;3;Customer Changed Mind
R000149;O0040334;10.06.2025;1;Damaged
R000150;O0035855;17.05.2025;1;Customer Changed Mind
R000151;O0010392;18.09.2025;3;Damaged
R000152;O0047713;28.03.2026;1;Late Delivery
R000153;O0039528;18.04.2025;3;Late Delivery
R000154;O9999999;22.03.2026;1;Customer Changed Mind
R000155;O0047693;17.12.2025;2;Other
R000156;O0008338;25.09.2025;3;Wrong Item
R000157;O0022655;24.08.2025;2;Customer Changed Mind
R000158;O0028251;18.03.2025;1;Customer Changed Mind
R000159;O0053347;17.09.2025;2;Customer Changed Mind
R000160;O0034602;06.07.2026;2;Late Delivery
R000161;O0036046;09.07.2025;3;Customer Changed Mind
